,uuid,center_x,center_y,center_z,direction_x,direction_y,direction_z,end_closed,end_reachable,facet_count,length,radius
20,7ab94475-8f9d-4e46-9d9f-51bc9eb494cf,-1.467e-07,0.0,-5.4500000477,4.302139727e-19,8.003398569e-18,-1.0,True,True,0,1.7999997139,7.0000000532
21,804cc09e-e043-4d00-830f-05afd72976a9,-3.385423705e-24,-3.385423705e-24,-0.25,0.0,0.0,1.0,True,True,224,0.5,15.0
21,804cc09e-e043-4d00-830f-05afd72976a9,-2.350988749e-24,-2.350988749e-24,-7.3999999762,2.314787127e-21,-1.364959322e-23,-1.0,True,True,224,7.2000000477,12.5
22,76d67a54-4d47-4804-80ff-8c15b9f4cb6c,0.0370208212,-0.0994711983,25.6751078093,2.91469e-05,4.86775e-05,-0.9999998272,True,True,0,51.3510557602,7.4700001245
23,7b1d8d4f-3846-4e18-a09c-bf1a1000c9c6,-9.700999028e-18,-1.9499999881,6.152269249e-17,-4.974871712e-18,-1.0,3.155009929e-17,True,True,0,0.6999999285,5.0
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.4660000801,62.1497522638,19.2499999754,-1.0,0.0,0.0,True,True,40,0.4679994583,0.5002182796
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.4660000801,59.399925676,19.2499999836,-1.0,0.0,0.0,True,False,40,0.4679994583,0.5003134474
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.4660000801,56.6499256766,19.2499999836,-1.0,0.0,0.0,True,True,40,0.4679994583,0.5003134474
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.4660000801,53.9000007323,19.2499999836,-1.0,0.0,0.0,True,True,40,0.4679994583,0.5004251856
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.4660000801,51.1500757905,19.2499999836,-1.0,0.0,0.0,True,True,40,0.4679994583,0.5003134459
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-13.0521800473,48.6706333612,19.2499780834,-0.9612146776,-0.2757940569,-0.0005590687,True,True,54,0.4839199275,0.4991333006
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-12.2410247129,45.9480361883,19.2500085815,-0.9611869099,-0.2758960283,0.0001398275,True,True,52,0.4903119602,0.4992798562
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-0.9611642792,45.9487590264,19.2500164958,0.9612853172,-0.275550353,0.0003254063,True,True,52,0.4949993617,0.4993252797
24,108c5d89-a2db-4273-a622-f25e3dce34f1,-0.1505353419,48.6711815175,19.2499993402,0.9612944811,-0.2755166595,-0.0003457338,True,True,54,0.4891164061,0.4991609703
24,108c5d89-a2db-4273-a622-f25e3dce34f1,0.2635000004,62.1497522638,19.2499999754,1.0,0.0,0.0,True,True,40,0.4729999993,0.5002182796
24,108c5d89-a2db-4273-a622-f25e3dce34f1,0.2635000004,59.399925676,19.2499999836,1.0,0.0,0.0,True,False,40,0.4729999993,0.5003134474
24,108c5d89-a2db-4273-a622-f25e3dce34f1,0.2635000004,56.6499256766,19.2499999836,1.0,0.0,0.0,True,True,40,0.4729999993,0.5003134474
24,108c5d89-a2db-4273-a622-f25e3dce34f1,0.2635000004,53.9000007323,19.2499999836,1.0,0.0,0.0,True,True,40,0.4729999993,0.5004251856
24,108c5d89-a2db-4273-a622-f25e3dce34f1,0.2635000004,51.1500757905,19.2499999836,1.0,0.0,0.0,True,True,40,0.4729999993,0.5003134459
25,8a04c9c3-f8d5-4614-b320-73cd87142c55,3.707716033e-24,-11.7999999523,-3.707716033e-24,0.0,-1.0,0.0,True,True,224,16.4000000954,11.1000002038
26,62c5a68b-414d-436b-9a05-a965505b2c4a,-192.5,-4.333342748e-22,-45.0,1.0,0.0,0.0,True,True,124,5.0,7.5
26,62c5a68b-414d-436b-9a05-a965505b2c4a,-192.5,-3.385423973e-24,-3.385423836e-24,1.0,0.0,0.0,True,True,124,5.0,7.5
26,62c5a68b-414d-436b-9a05-a965505b2c4a,-148.5,0.0,38.0,1.0,0.0,0.0,True,True,72,3.0,2.5
27,ae3e1069-80ee-4b57-908a-ff5ef056f815,2.78e-08,1.97e-08,9.5,0.0,0.0,1.0,True,True,0,5.0,42.4500001504
28,2eb61d80-c0af-46ae-b8cf-ef10bae6db10,51.0,6.69220694e-18,3.558361859e-16,-1.0,-1.312197601e-19,-6.977180132e-18,True,True,200,2.0,7.4000000954
